#
#  gcf_000012905cyc 28.1 Pathways link table generated on Tue Jul 23, 2024
#
PWY-6907	thiamine diphosphate biosynthesis III (Staphylococcus)	vitamin B<sub>1</sub> biosynthesis III	thiamin diphosphate biosynthesis III (Staphylococcus)
FERMENTATION-PWY	mixed acid fermentation	fermentation
PWY-5704	urea degradation II	
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	vitamin B<sub>1</sub> biosynthesis	thiamin diphosphate biosynthesis I (E. coli)
PWY-5419	catechol degradation to 2-hydroxypentadienoate II	catechol degradation, <I>meta</I>-cleavage
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	riboflavin, FMN and FAD biosynthesis	vitamin B<sub>2</sub> biosynthesis
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	[Fe-S] cluster biosynthesis	[2Fe-2S] cluster biosynthesis
PWY-2301	<i>myo</i>-inositol biosynthesis	
PWY0-662	PRPP biosynthesis	5-phosphoribosyl 1-pyrophosphate biosynthesis
PWY-6164	3-dehydroquinate biosynthesis I	
P561-PWY	proline betaine degradation	stachydrine catabolism	stachydrine degradation	L-proline betaine catabolism
PWY-5130	2-oxobutanoate degradation I	2-oxobutyrate catabolism	2-oxobutyrate degradation
PWY-7308	acrylonitrile degradation I	
PWY-7909	formaldehyde oxidation VII (THF pathway)	
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	
PWY-6614	tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
PWY-7183	pyrimidine nucleobases salvage I	uracil salvage
ASPARTATESYN-PWY	L-aspartate biosynthesis	L-aspartate biosynthesis and degradation
PWY0-1325	superpathway of L-asparagine biosynthesis	
PWY-6317	D-galactose degradation I (Leloir pathway)	Leloir pathway
PWY-7972	adenosylcobinamideGDP salvage from cobinamide II	
PWY-4121	glutathionylspermidine biosynthesis	
GLYSYN-THR-PWY	glycine biosynthesis IV	
HSERMETANA-PWY	L-methionine biosynthesis III	L-methionine biosynthesis by sulfhydrylation
PWY-7884	lipoprotein posttranslational modification	lipoprotein lipoylation
